"ANYO","F","M","U"
1982,0,0,1470
1983,95,156,1433
1984,156,166,2292
1985,873,913,8767
1986,180,214,1910
1987,259,299,2555
1988,1088,1142,6743
1989,698,686,4326
1990,909,992,6741
1991,691,645,4242
1992,717,1496,3097
1993,573,1359,1866
1994,349,408,1398
1995,434,739,301
1996,388,638,581
1997,420,503,444
1998,612,669,592
1999,731,699,1050
2000,904,1119,1726
2001,721,937,3001
2002,1171,1276,4713
2003,1006,1295,4614
2004,1617,1571,6303
2005,1893,2064,7298
2006,1503,1687,5580
2007,2245,2630,11318
2008,2062,2409,7214
2009,2185,2156,6315
2011,58,53,89
2012,269,288,905
2013,283,341,1716
2014,288,397,2409
2015,320,331,2003
2016,422,527,2510
2017,471,485,1653
2018,292,334,2165
2019,576,494,2882
2020,252,336,1579
