"año";"CodigoEdad";"cantidad"
1980;"0";1
1982;"0";4
1982;"1";1466
1983;"0";16
1983;"1";665
1983;"2";943
1983;"3";37
1983;"4";22
1983;"5";1
1984;"0";43
1984;"1";1579
1984;"2";376
1984;"3";391
1984;"4";221
1984;"5";4
1985;"0";290
1985;"1";384
1985;"2";1513
1985;"3";6315
1985;"4";1896
1985;"5";50
1985;"6";104
1985;"8";1
1986;"0";29
1986;"1";39
1986;"2";282
1986;"3";1091
1986;"4";702
1986;"5";81
1986;"6";80
1987;"0";33
1987;"1";445
1987;"2";188
1987;"3";1006
1987;"4";714
1987;"5";567
1987;"6";156
1987;"7";1
1987;"8";1
1987;"9";2
1988;"0";730
1988;"1";669
1988;"2";1287
1988;"3";3051
1988;"4";2737
1988;"5";327
1988;"6";172
1989;"0";126
1989;"1";633
1989;"2";634
1989;"3";2113
1989;"4";1531
1989;"5";407
1989;"6";266
1990;"0";50
1990;"1";1136
1990;"2";2003
1990;"3";2475
1990;"4";2016
1990;"5";638
1990;"6";324
1991;"0";34
1991;"1";374
1991;"2";1597
1991;"3";1385
1991;"4";1930
1991;"5";146
1991;"6";110
1991;"7";1
1991;"8";1
1992;"0";614
1992;"1";474
1992;"2";1610
1992;"3";1517
1992;"4";788
1992;"5";60
1992;"6";247
1993;"0";15
1993;"1";367
1993;"2";433
1993;"3";1381
1993;"4";1405
1993;"5";103
1993;"6";93
1993;"8";1
1994;"0";64
1994;"1";318
1994;"2";120
1994;"3";833
1994;"4";701
1994;"5";56
1994;"6";62
1994;"8";1
1995;"0";3
1995;"1";5
1995;"2";793
1995;"3";389
1995;"4";201
1995;"5";53
1995;"6";30
1996;"0";21
1996;"1";44
1996;"2";188
1996;"3";247
1996;"4";425
1996;"5";634
1996;"6";45
1996;"8";3
1997;"0";3
1997;"1";244
1997;"2";231
1997;"3";457
1997;"4";182
1997;"5";164
1997;"6";85
1997;"7";1
1998;"1";223
1998;"2";210
1998;"3";930
1998;"4";363
1998;"5";111
1998;"6";36
1999;"0";3
1999;"1";187
1999;"2";286
1999;"3";1221
1999;"4";498
1999;"5";179
1999;"6";106
2000;"0";2
2000;"1";319
2000;"2";18
2000;"3";2033
2000;"4";986
2000;"5";226
2000;"6";164
2000;"7";1
2001;"0";2
2001;"1";203
2001;"2";75
2001;"3";2800
2001;"4";1006
2001;"5";356
2001;"6";216
2001;"8";1
2002;"0";6
2002;"1";185
2002;"2";114
2002;"3";4462
2002;"4";1271
2002;"5";794
2002;"6";321
2002;"7";6
2002;"8";1
2003;"0";3
2003;"1";417
2003;"2";83
2003;"3";4129
2003;"4";1443
2003;"5";553
2003;"6";287
2004;"0";3
2004;"1";514
2004;"2";485
2004;"3";5073
2004;"4";2454
2004;"5";680
2004;"6";280
2004;"7";2
2005;"1";339
2005;"2";283
2005;"3";6078
2005;"4";3093
2005;"5";1018
2005;"6";430
2005;"7";11
2005;"8";3
2006;"0";11
2006;"1";175
2006;"2";261
2006;"3";4718
2006;"4";1996
2006;"5";1186
2006;"6";417
2006;"7";5
2006;"8";1
2007;"0";8
2007;"1";320
2007;"2";450
2007;"3";8456
2007;"4";5284
2007;"5";1220
2007;"6";453
2007;"7";1
2007;A;1
2008;"0";134
2008;"1";492
2008;"2";355
2008;"3";6394
2008;"4";2332
2008;"5";1314
2008;"6";647
2008;"7";4
2008;"8";12
2008;A;1
2009;"0";6
2009;"1";245
2009;"2";330
2009;"3";5234
2009;"4";3212
2009;"5";1045
2009;"6";560
2009;"7";5
2009;"8";13
2009;"9";1
2009;B;5
2011;"1";51
2011;"3";122
2011;"4";13
2011;"5";4
2011;"6";3
2011;"7";3
2011;"8";1
2011;"9";2
2011;A;1
2012;"1";42
2012;"2";3
2012;"3";938
2012;"4";326
2012;"5";85
2012;"6";60
2012;"8";3
2012;"9";2
2012;A;3
2013;"1";87
2013;"2";3
2013;"3";1584
2013;"4";493
2013;"5";122
2013;"6";47
2013;"7";1
2013;A;3
2014;"1";32
2014;"3";2141
2014;"4";711
2014;"5";137
2014;"6";73
2015;"1";96
2015;"2";3
2015;"3";1747
2015;"4";542
2015;"5";201
2015;"6";62
2015;"8";1
2015;A;2
2016;"0";1
2016;"1";84
2016;"2";10
2016;"3";1683
2016;"4";1240
2016;"5";325
2016;"6";114
2016;"8";2
2017;"1";91
2017;"3";1543
2017;"4";687
2017;"5";167
2017;"6";109
2017;"7";6
2017;"8";4
2017;"9";1
2017;A;1
2018;"1";90
2018;"2";1
2018;"3";1968
2018;"4";466
2018;"5";189
2018;"6";71
2018;"7";2
2018;"8";3
2018;A;1
2019;"1";81
2019;"3";2356
2019;"4";1285
2019;"5";164
2019;"6";63
2019;"9";1
2019;A;2
2020;"1";30
2020;"2";8
2020;"3";1384
2020;"4";340
2020;"5";311
2020;"6";93
2020;A;1
2021;"3";5
2021;"4";77
2021;"5";147
2021;"6";32
